,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
b5,0.00143432,0.029992275,-0.059293871,0.059661275,1183.789422,1.005060421,ConNeigh,,
b24,-0.058440697,0.033384026,-0.123759942,0.007207394,2279.260415,1.002168159,ConNeigh*Treatment,,
b8,0.000875461,0.000346891,0.000194805,0.001557842,12302.93599,1.000453418,Elevation,,
b6,-0.008920295,0.031472268,-0.069988343,0.053947044,795.876918,1.006409331,HetNeigh,,
b1,-0.495164855,0.016098392,-0.526892498,-0.463635412,17206.96474,1.000354936,initial height,,
b2,0.476588255,0.018401746,0.440236725,0.512562794,7147.865647,1.001012443,LA,,
b12j[56],-0.085903779,0.034156503,-0.155833988,-0.022049883,2335.388589,1.000817562,LA*ConNeigh,56,SPOMOM
b12,-0.051298408,0.050352198,-0.148674394,0.05051451,6022.795059,1.000283339,LA*ConNeigh,,
b15j[2],0.098841395,0.05842581,0.012056566,0.236216165,1528.985998,1.002501437,LA*HetNeigh,2,ALCLAT
b15j[19],0.071446045,0.038299634,0.004263302,0.156237257,3646.206565,1.001009083,LA*HetNeigh,19,GUAGUI
b15j[57],0.061661928,0.032560402,0.000130694,0.130253785,6156.76889,1.001110465,LA*HetNeigh,57,SWIMAC
b15,0.008968843,0.020903096,-0.031683821,0.050908134,1633.993866,1.001225732,LA*HetNeigh,,
b21j[6],-0.135686315,0.063739413,-0.267539761,-0.02286792,1845.67175,1.00110605,LA*HetNeigh*Treatment,6,CECSCH
b21,-0.023749949,0.028401902,-0.079926772,0.031271336,1143.046631,1.002244539,LA*HetNeigh*Treatment,,
b9j[19],-0.125992263,0.064414066,-0.254485943,-0.001399644,10004.00373,1.000153792,LA*Treatment,19,GUAGUI
b9j[57],-0.193484009,0.061102572,-0.313747614,-0.074152958,9363.388585,1.000238789,LA*Treatment,57,SWIMAC
b9,0.059701426,0.035061519,-0.008779965,0.129445835,1978.995341,1.000630156,LA*Treatment,,
b3,0.130672397,0.01996314,0.092060707,0.170181913,3931.146445,1.000462191,SMF,,
b13j[1],-0.392823305,0.169661521,-0.734775096,-0.06923271,6565.998513,1.000336431,SMF*ConNeigh,1,ALCFLO
b13j[19],-0.041955524,0.021240548,-0.083374893,-8.53E-05,13225.31533,1.000138249,SMF*ConNeigh,19,GUAGUI
b13j[22],-0.212987233,0.099625212,-0.415496997,-0.023301946,5266.846578,1.0008397,SMF*ConNeigh,22,HIBROS
b13j[30],0.628569131,0.238566926,0.186568698,1.1167183,5135.712738,1.000942299,SMF*ConNeigh,30,MICRAC
b13j[51],-0.374945534,0.108157794,-0.594820651,-0.170785339,8936.62679,1.000309963,SMF*ConNeigh,51,SCHMOR
b13,0.003118687,0.026891005,-0.056946552,0.050592117,2127.091255,1.004709307,SMF*ConNeigh,,
b13j[14],-0.535869826,0.109331788,-0.751881268,-0.323805608,8092.582366,1.000889783,SMF*ConNeigh,14,DRYGLA
b19j[43],0.163688597,0.080097768,0.023436924,0.327885646,2941.225152,1.001231411,SMF*ConNeigh*Treatment,43,PSYBER
b16,-0.003433852,0.023279843,-0.047752702,0.044008951,1757.080285,1.001842744,SMF*HetNeigh,,
b22,0.004717485,0.026875951,-0.049349528,0.056145155,1381.519857,1.001747667,SMF*Hetneigh*Treatment,,
b10,-0.001610484,0.032620904,-0.066793825,0.061739611,3407.230725,1.000143176,SMF*Treatment,,
b4,-0.034913023,0.01688097,-0.068250084,-0.001906729,6980.418572,1.000523248,SRL,,
b20,-0.045971299,0.029476133,-0.104846743,0.011635647,1746.272047,1.003148294,SRL*ConNeigh*Treatment,,
b20j[43],-0.076112046,0.042450615,-0.170715553,-0.000798143,3185.251466,1.001157905,SRL*ConNeigh*Treatmetn,43,PSYBER
b17,0.017679003,0.040365705,-0.060195301,0.100613466,1671.996845,1.000488802,SRL*HetNeigh,,
b11j[6],-0.164385627,0.060528248,-0.284147899,-0.046207254,4022.107256,1.000447035,SRL*Treatment,6,CECSCH
b11,-0.019711804,0.031938742,-0.086728857,0.040857035,2635.289296,1.000639732,SRL*Treatment,,
b7,0.025717878,0.02736256,-0.027227365,0.080274572,4180.048707,1.000958478,Treatment,,
a,-0.057755325,10.59626742,-20.20138683,22.24507666,71.78839433,1.060140268,,,
a_spj[18],0.725462352,10.35634901,-20.68741634,20.56882073,67.6093544,1.059679599,,,
a_spj[40],0.334884478,10.36184815,-21.11556042,20.19421757,67.74889111,1.059552049,,,
a_spj[13],0.333997456,10.36498655,-21.07329604,20.16719302,67.69310259,1.059630548,,,
a_spj[52],0.294924903,10.36119264,-21.1513765,20.1114667,67.66588634,1.059645069,,,
a_spj[43],0.26756909,10.3557873,-21.16173504,20.09529521,67.59065074,1.059693429,,,
a_spj[6],0.239274799,10.35631873,-21.19524311,20.07355084,67.58788229,1.059685264,,,
a_spj[30],0.10510653,10.35788275,-21.31086054,19.91272373,67.78830111,1.05943585,,,
a_spj[39],-0.026573495,10.35947061,-21.45795472,19.84233791,67.66589964,1.059641261,,,
a_spj[35],-0.01664288,10.35848286,-21.44654918,19.81331974,67.6559736,1.059656175,,,
a_spj[22],-0.101462948,10.35593296,-21.52884555,19.71414202,67.55241931,1.059735601,,,
a_spj[2],-0.176121162,10.35641712,-21.61517361,19.64745176,67.57143911,1.059734202,,,
a_spj[1],-0.223869646,10.35810658,-21.6360822,19.60759026,67.57624861,1.059690469,,,
a_spj[37],-0.217617058,10.35973217,-21.64300671,19.60156501,67.65390299,1.05967642,,,
a_spj[29],-0.263800207,10.36271113,-21.71876154,19.58019779,67.50945261,1.059849772,,,
a_spj[3],-0.29090586,10.35926783,-21.74651853,19.54720099,67.69976166,1.059612249,,,
a_spj[44],-0.29492835,10.35487897,-21.72513951,19.53029615,67.66998592,1.059634661,,,
a_spj[7],-0.36030062,10.36298331,-21.77904175,19.51630695,67.60174757,1.059666713,,,
a_spj[38],-0.395137696,10.35642184,-21.82993082,19.43599863,67.66027338,1.059567359,,,
b23,0.002728418,9.959719667,-19.53300444,19.43021168,23947.32601,1.000220948,SRL*HetNeigh*Treatment,,
a_spj[25],-0.371797229,10.35821474,-21.80479074,19.41365947,67.58326525,1.059741006,,,
a_spj[28],-0.436216182,10.35594881,-21.87572412,19.40020203,67.61159045,1.059710725,,,
a_spj[36],-0.432380707,10.3553729,-21.84468714,19.39111904,67.6234796,1.059661753,,,
a_spj[20],-0.453234609,10.3585668,-21.87521573,19.37103907,67.57885137,1.059706036,,,
a_spj[64],-0.4686624,10.35754226,-21.88481644,19.3653913,67.59768728,1.059681881,,,
a_sp,-0.484214186,10.35599987,-21.91283324,19.35241192,67.57147428,1.059719159,,,
a_spj[14],-0.478517215,10.35481664,-21.90497707,19.35237379,67.58965403,1.059705831,,,
a_spj[32],-0.48829804,10.35771017,-21.91526341,19.33467525,67.55584477,1.059757742,,,
a_spj[53],-0.540373859,10.36092839,-22.00164876,19.33465695,67.63678726,1.059707842,,,
a_spj[57],-0.523270017,10.35599824,-21.9424271,19.31294115,67.5855225,1.05969533,,,
a_spj[50],-0.507595938,10.3564284,-21.93244969,19.30949302,67.60168008,1.059686502,,,
a_spj[31],-0.525645592,10.36044871,-21.97583358,19.30824493,67.66083897,1.059640877,,,
a_spj[21],-0.50969846,10.35765595,-21.94326749,19.30442791,67.57508447,1.059730616,,,
a_spj[49],-0.51696385,10.36106597,-21.94802659,19.30346561,67.63676491,1.059675568,,,
a_spj[11],-0.53834126,10.35532694,-21.95267026,19.29577565,67.5739055,1.059707661,,,
a_spj[17],-0.556645906,10.35678649,-21.97700608,19.29186178,67.62416507,1.059691547,,,
a_spj[4],-0.528784789,10.35598589,-21.95873649,19.28964143,67.5954137,1.059659169,,,
a_spj[55],-0.548797129,10.3608136,-22.00645558,19.28535078,67.53172528,1.059824393,,,
a_spj[9],-0.576725504,10.35837988,-22.03079555,19.25965827,67.61619877,1.059687768,,,
a_spj[51],-0.573336911,10.35621735,-21.99720973,19.25166496,67.58511431,1.059695374,,,
a_spj[15],-0.576850554,10.35723296,-21.99964919,19.24610476,67.52372711,1.059770873,,,
a_spj[10],-0.610589618,10.35685992,-22.02514617,19.22806425,67.57152641,1.059727782,,,
a_spj[42],-0.570738778,10.36379779,-22.01334159,19.21803472,67.68973994,1.059603735,,,
